product_name,title,sku,price,cost,sale_price
7501-GRY-BLC,8' x 10',7501-BRN-BEIGE-8x10,75,40,
7502-GRY-BLC,2' x 3',7501-GRY-BLC-2x3,5,2.6,
7503-GRY-BLC,2' x 5',7501-GRY-BLC-2x5,9,5,
7504-GRY-BLC,2' x 7',7501-GRY-BLC-2X7,11,6,
7505-GRY-BLC,3' x 5',7501-GRY-BLC-3x5,13,7,
7506-GRY-BLC,3' x 8',7501-GRY-BLC-3x8,19,11,
7507-GRY-BLC,4' x 5',7501-GRY-BLC-4x5,17,10,
7508-GRY-BLC,5' x 7',7501-GRY-BLC-5x7,35,20,
7501-GRY-BLU,8' x 10',7501-GRY-BLC-8x10,75,40,
7502-GRY-BLU,2' x 3',7501-GRY-BLU-2x3,5,2.6,
7503-GRY-BLU,2' x 5',7501-GRY-BLU-2x5,9,5,6.75
7504-GRY-BLU,2' x 7',7501-GRY-BLU-2X7,11,6,8.25
7505-GRY-BLU,3' x 5',7501-GRY-BLU-3x5,13,7,
7506-GRY-BLU,3' x 8',7501-GRY-BLU-3x8,19,11,
7507-GRY-BLU,4' x 5',7501-GRY-BLU-4x5,17,10,
7508-GRY-BLU,5' x 7',7501-GRY-BLU-5x7,35,20,
7501-GRY-YLLW,8' x 10',7501-GRY-BLU-8x10,75,40,
7502-GRY-YLLW,2' x 3',7501-GRY-YLLW-2x3,5,2.6,3.75
7503-GRY-YLLW,3' x 5',7501-GRY-YLLW-3x5,13,7,9.75
7504-GRY-YLLW,3' x 8',7501-GRY-YLLW-3x8,19,11,14.25
7505-GRY-YLLW,4' x 5',7501-GRY-YLLW-4x5,17,10,12.75
7506-GRY-YLLW,2' x 7',7501-GRY-YLLW-2x7,11,6,8.25
7507-GRY-YLLW,5' x 7',7501-GRY-YLLW-5x7,35,20,
7501-RED-BLC,8' x 10',7501-GRY-YLLW-8x10,75,40,
7502-RED-BLC,2' x 3',7501-RED-BLC-2x3,5,2.6,
7503-RED-BLC,2' x 5',7501-RED-BLC-2X5,9,5,6.75
7504-RED-BLC,3' x 5',7501-RED-BLC-3x5,13,7,
7505-RED-BLC,3' x 8',7501-RED-BLC-3x8,19,11,
7506-RED-BLC,4' x 5',7501-RED-BLC-4x5,17,10,
7507-RED-BLC,5' x 7',7501-RED-BLC-5x7,35,20,
7502-BLU-WHT,8' x 10',7501-RED-BLC-8x10,75,40,56.25
7503-BLU-WHT,2' x 3',7502-BLU-WHT-2x3,5,2.6,3.75
7504-BLU-WHT,3' x 8',7502-BLU-WHT-3x8,19,11,14.25
7505-BLU-WHT,4' x 5',7502-BLU-WHT-4x5,17,10,12.75
7506-BLU-WHT,5' x 7',7502-BLU-WHT-5x7,35,20,26.25
7502-BRN,8' x 10',7502-BLU-WHT-8x10,75,40,56.25
7503-BRN,2' x 3',7502-BRN-2x3,5,2.6,3.75
7504-BRN,3' x 8',7502-BRN-3x8,19,11,14.25
7505-BRN,5' x 7',7502-BRN-5x7,35,20,26.25
7502-GRY,8' x 10',7502-BRN-8x10,75,40,56.25
