"SKU","ProductName","WarehouseName","Loc1","Loc2","Loc3","Loc4","OnHand","ReorderThreshold"
"32913285-000-000","Large Hallway 1-set 36x96"" Newruz Print Bath Mat Absorbent Soft Kitchen Floor Area Rug Non-slip Carpet Beige-Brown","","","","","","0","0"
"32913583-000-000","Persian Style Traditional Oriental Medallion Area Rug Empire 300 Beige 8' x 10'","","","","","","0","0"
"29736146-000-000","Solid Black 6 piece 100% Cotton Hand Towel","","","","","","0","0"
"30779657-000-000","Knoxville Area Rug F 7510 Red-White 2' x 3'","","","","","","0","0"
"30779666-000-000","Knoxville Area Rug F 7510 Red-White 4' x 5'","","","","","","0","0"
"30779468-000-000","Giuliana Dusty Brick Area Rug F 7513 Gray-Black 3' x 8'","","","","","","0","0"
"6pc-Hand-Beige","Msrugs 16x28 Lightweight Hand Towels for Bathroom, 100% Cotton, Soft, Perfect Hand Towel/Hotel Hand Towels/Spa Hand Towels/Kitchen Hand Towels/Golf Hand Towel/Gym Hand Towel (6, Beige)","","","","","","0","0"
"30779452-000-000","Giuliana Dusty Brick Area Rug F 7513 Gray-Black 5' x 7'","","","","","","0","0"
"0307-BLC-3x5","Traditional Oriental Medallion Area Rug Persian Style Carpet Runner Mat AllSizes[36"" x 60"",Black]","Inventory Warehouse","A","No","No","No","49","0"
"29679962-000-000","Solid Gray 4 piece 100% Cotton Hand Towel","","","","","","0","0"
"32913003-000-000","Contemporary Transitional Area Rug Zara 400 Dark Gray 3' x 5'","","","","","","0","0"
"29736151-000-000","Solid Black 12 piece 100% Cotton Hand Towel","","","","","","0","0"
"0307-BRN-3x5","Traditional Oriental Medallion Area Rug Persian Style Carpet All Sizes[36"" x 60"",Brown]","Inventory Warehouse","A","No","No","No","60","0"
"30779370-000-000","Star Brown/Beige Area Rug","","","","","","0","0"
"32913549-000-000","Tropical Indoor/Outdoor Rugs Flatweave Contemporary Patio, Pool, Camp and Picnic Carpets FW 513 Beige/Green 9' x 12'","","","","","","0","0"
"28657881-000-000","Alida Lopped Black/Beige, Multicolors Area Rug","","","","","","0","0"
"30661694-000-000","Alida Lopped Area Rug 6100 Multicolour 3' x 8'","","","","","","0","0"
"32913401-000-000","Persian Style Traditional Oriental Medallion Area Rug KLM 350 Beige 3' x 5'","","","","","","0","0"
"NWR325MRNBEI16.24x16.47","Msrugs 2 Piece Bath Mat Absorbent Soft Kitchen Floor Area Rug Non-Slip Carpet Set","","","","","","0","0"
"1164-BRN-3x5","Wreath Leaf Brown Beige Area Rug Persian Style Carpet Mat All Sizes[36"" x 60""]","Inventory Warehouse","A","No","No","No","69","0"
"32928796-000-000","Kitchen 3-set 20x30"" + 26x45"" + 20x59"" Newruz Print Bath Mat Absorbent Soft Floor Area Rug Non-slip Carpet Black-White","","","","","","0","0"
"32913116-000-000","Festival Indoor/Outdoor Rugs Flatweave Contemporary Patio, Pool, Camp and Picnic Carpets FW 550 Black 2' x 3.6'","","","","","","0","0"
"32913126-000-000","Festival Indoor/Outdoor Rugs Flatweave Contemporary Patio, Pool, Camp and Picnic Carpets FW 550 Black 4' x 6'","","","","","","0","0"
"32913255-000-000","Large Hallway 1-set 36x96"" Newruz Print Bath Mat Absorbent Soft Kitchen Floor Area Rug Non-slip Carpet Gray","","","","","","0","0"
"FW550-LtBlue-2.4x7","Indoor/Outdoor Rugs Flatweave Contemporary Patio, Pool, Camp and Picnic Carpets[Light Blue,2'.4""x7""]","","","","","","0","0"
"28445185-000-000","Sun Ray Outline Red Area Rug","","","","","","0","0"
"32913458-000-000","Tropical Indoor/Outdoor Rugs Flatweave Contemporary Patio, Pool, Camp and Picnic Carpets FW 513 Beige/Green 4' x 6'","","","","","","0","0"
"32913022-000-000","Fine Sleek Area Rug MNC 300 Gray 2' x 3'","","","","","","0","0"
"KLM-350-BRW-BEI-23","Area Rugs Traditional Persian Style Carpet Flooring Runner Mat All Sizes[2' x 3']","","","","","","0","0"
"32928804-000-000","Kitchen 3-set 20x30"" + 26x45"" + 20x59"" Newruz Print Bath Mat Absorbent Soft Floor Area Rug Non-slip Carpet Beige-Brown","","","","","","0","0"
"NWR295BRNTPE16.24x16.47","Msrugs 2 Piece Bath Mat Absorbent Soft Kitchen Floor Area Rug Non-Slip Carpet Set","","","","","","0","0"
"7510-BLU-WHT-5*7","Red Area Rugs / Area Carpet 2x3 3x8 4x5 5x7 8x10 Size By MSRUGS - Made From Turk[Blue,5' x 7']","","","","","","0","0"
"32913113-000-000","Festival Indoor/Outdoor Rugs Flatweave Contemporary Patio, Pool, Camp and Picnic Carpets FW 550 Green 8' x 10'","","","","","","0","0"
"30779491-000-000","Tropical LIGHT GREY/ANTHRACITE Indoor/Outdoor Rugs Flatweave Contemporary Patio,Pool,Camp and Picnic Carpets","","","","","","0","0"
"30779652-000-000","Knoxville Area Rug F 7510 Red-White 5' x 7'","","","","","","0","0"
"32913368-000-000","Caramel Drizzle Area rug MNC 600 Gray 8' x 10'","","","","","","0","0"
"30779378-000-000","Mckenzie Black/Gray/Yellow Area Rug","","","","","","0","0"
"29736148-000-000","Solid Lavender 2 piece 100% Cotton Bath Towel","","","","","","0","0"
"30779671-000-000","Home L.CHOCO/BEIGE Indoor/Outdoor Rugs Flatweave Contemporary Patio,Pool,Camp and Picnic Carpets","","","","","","0","0"
"FW444-Blue-5x8","Indoor/Outdoor Rugs Flatweave Contemporary Patio, Pool, Camp and Picnic Carpets[Blue,5' x 8']","","","","","","0","0"
"32913288-000-000","Large Hallway 1-set 36x96"" Newruz Print Bath Mat Absorbent Soft Kitchen Floor Area Rug Non-slip Carpet Black-White","","","","","","0","0"
"29736145-000-000","Solid Pink 6 piece 100% Cotton Hand Towel","","","","","","0","0"
"32913182-000-000","Chevron Indoor/Outdoor Rugs Flatweave Contemporary Patio, Pool, Camp and Picnic Carpets FW 801 Dark Blue 4' x 6'","","","","","","0","0"
"FW444-Gold-5x8","Indoor/Outdoor Rugs Flatweave Contemporary Patio, Pool, Camp and Picnic Carpets[Gold,5' x 8']","","","","","","0","0"
"32913266-000-000","Bath 1-set 24x60"" Newruz Print Mat Absorbent Soft Kitchen Floor Area Rug Non-slip Carpet Navy-Gray","","","","","","0","0"
"NWR125BRNBEI24.84","Msrugs Bath Mat Absorbent Soft Kitchen Floor Area Rug Non-Slip Carpet","","","","","","0","0"
"NWR425NAVYGRY17.15x18.30","Bath 2-set 17x15"" + 18x30"" Newruz Print Mat Absorbent Soft Floor Area Rug Non-slip Carpet - Navy-Gray","","","","","","0","0"
"NWR425NAVYGRY24.60","Bath 1-set 24x60"" Newruz Print Mat Absorbent Soft Kitchen Floor Area Rug Non-slip Carpet - Navy-Gray","","","","","","0","0"
"29736147-000-000","Solid Black 4 piece 100% Cotton Hand Towel","","","","","","0","0"
"30779667-000-000","Super Shaggy Black Area Rug","","","","","","0","0"
"29681245-000-000","Solid White 4 piece 100% Cotton Bath Towel","","","","","","0","0"
